study,experiment,condition,n,design,design_note,presentation,framing,source,N_00,N_01,N_10,N_11,pEC,pEnoC,deltaP,power,rating,rating_SD,question,scale,anchors,reference,note,Column1
Buehner et al. (2003),1,P01,57,mixed,causal direction between-subjects; all other factors within-subjects,trial-by-trial,preventive,Table 1,0,8,8,0,0,1,-1,1,93.58,12.87,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P02,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,2,6,8,0,0,0.75,-0.75,1,84.75,19.72,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P03,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,0,8,6,2,0.25,1,-0.75,0.75,71.54,17.26,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P04,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,4,4,8,0,0,0.5,-0.5,1,79.28,20.54,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P05,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,2,6,6,2,0.25,0.75,-0.5,0.666666667,64.61,19.49,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P06,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,0,8,4,4,0.5,1,-0.5,0.5,45.95,21.87,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P07,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,6,2,8,0,0,0.25,-0.25,1,72.00,29.62,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P08,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,4,4,6,2,0.25,0.5,-0.25,0.5,58.56,20.02,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P09,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,2,6,4,4,0.5,0.75,-0.25,0.333333333,42.86,21.83,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P10,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,0,8,2,6,0.75,1,-0.25,0.25,21.09,15.80,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P11,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,8,0,8,0,0,0,0,Undefined,45.12,41.05,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P12,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,6,2,6,2,0.25,0.25,0,0,47.79,28.70,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P13,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,4,4,4,4,0.5,0.5,0,0,33.89,23.06,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P14,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,2,6,2,6,0.75,0.75,0,0,22.86,21.86,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,P15,57,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,preventive,Table 1,0,8,0,8,1,1,0,0,8.68,20.39,how strongly does the vaccine prevented the disease related to the virus,0 to 100,0 = “the vaccine does not prevent the disease at all” to 100 = “the vaccine prevents the disease every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G01,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,8,0,0,8,1,0,1,1,88.54,20.05,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G02,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,6,2,0,8,1,0.25,0.75,1,76.54,23.86,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G03,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,8,0,2,6,0.75,0,0.75,0.75,69.02,22.21,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G04,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,4,4,0,8,1,0.5,0.5,1,70.85,23.19,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G05,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,6,2,2,6,0.75,0.25,0.5,0.666666667,54.02,23.77,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G06,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,8,0,4,4,0.5,0,0.5,0.5,57.00,22.73,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G07,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,2,6,0,8,1,0.75,0.25,1,57.62,32.35,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G08,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,4,4,2,6,0.75,0.5,0.25,0.5,47.06,26.49,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G09,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,6,2,4,4,0.5,0.25,0.25,0.333333333,45.71,22.53,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G10,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,8,0,6,2,0.25,0,0.25,0.25,33.69,26.67,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G11,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,0,8,0,8,1,1,0,Undefined,41.10,36.85,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G12,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,2,6,2,6,0.75,0.75,0,0,42.62,27.06,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
Buehner et al. (2003),1,G13,52,mixed,"conditions were within-subjects within each component, but generative versus preventive framing was between-subjects",trial-by-trial,generative,Table 2,4,4,4,4,0.5,0.5,0,0,36.60,24.91,how strongly does the particular rays cause mutation,0 to 100, 0 = “the ray does not cause mutation at all” to 100 = “the rays cause mutation every time.”,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140.",,
